CRIM;ZN;INDUS;NOX;RM;AGE;DIS;TAX;PTRATIO;B;LSTAT;CHAS_0;CHAS_1;RAD_1;RAD_2;RAD_3;RAD_4;RAD_5;RAD_6;RAD_7;RAD_8;RAD_24
0.04235882975227122;0.0;0.6466275659824048;0.5555555555555557;0.45813374209618696;0.8424304840370752;0.15839918522492702;0.91412213740458;0.8085106382978724;0.05469262191739372;0.4254966887417218;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.00134281399502843;0.45;0.1092375366568915;0.10699588477366251;0.5738647250431118;0.2698249227600412;0.3125517191208432;0.4026717557251908;0.2765957446808509;0.9645468757879873;0.0780905077262693;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.003473197895737299;0.0;0.21041055718475074;0.24485596707818924;0.9015136999425178;0.776519052523172;0.16048159026634778;0.22900763358778625;0.5106382978723403;0.9701195219123506;0.06650110375275937;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0005651350771744325;0.0;0.10813782991202346;0.21399176954732513;0.6602797470779843;0.858908341915551;0.20843146704980492;0.1583969465648855;0.5531914893617023;0.9999999999999999;0.10402869757174393;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.14382373000840284;0.0;0.6466275659824048;0.7304526748971193;0.4393561985054609;0.9649845520082388;0.06965599396193474;0.91412213740458;0.8085106382978724;0.6056785516163196;0.6087196467991169;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0036360620021067803;0.0;0.7855571847507332;0.4917695473251028;0.4332247557003258;0.9526261585993822;0.12187980248979259;0.4770992366412213;0.9148936170212765;0.9792979978818902;0.3669977924944812;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0005327645715606225;0.0;0.4934017595307918;0.10699588477366251;0.5725234719294884;0.49536560247167866;0.43928743555001865;0.1946564885496183;0.36170212765957444;0.9897876847042212;0.15618101545253862;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.024085229742919736;0.0;0.7008797653958945;0.9999999999999999;0.41157309829469246;0.984552008238929;0.0448853767880039;0.41221374045801523;0.22340425531914887;0.6597155681073176;0.3879690949227373;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.05113584507476013;0.0;0.6466275659824048;0.685185185185185;0.0;0.8753861997940269;0.043976029608344167;0.91412213740458;0.8085106382978724;0.893590196177316;0.14873068432671083;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0008627638926791854;0.0;0.07331378299120235;0.2119341563786007;0.391454301590343;0.8949536560247168;0.16898398639616619;0.011450381679389277;0.5531914893617023;0.9851227999394826;0.3380242825607064;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0012219865869213266;0.0;0.08907624633431087;0.12345679012345678;0.49856294309254656;0.6869207003089598;0.2151151688203039;0.1698473282442748;0.574468085106383;0.9872156941852841;0.2651766004415011;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0025059042453468524;0.0;0.23643695014662755;0.12962962962962965;0.4730791339337038;0.850669412976313;0.41464412698124015;0.08778625954198471;0.5638297872340423;0.9895103131776691;0.47102649006622516;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0019407691681724197;0.0;0.33834310850439886;0.41152263374485576;0.40410040237593414;0.266735324407827;0.15177004428520763;0.38931297709923657;0.7021276595744679;0.9908971708104293;0.43791390728476826;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
