Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall;LIME SRCC;LIME KT-C;LIME KT-B;ACV SRCC;ACV KT-C;ACV KT-B;LINDA SRCC;LINDA KT-C;LINDA KT-B;SHAP SRCC;SHAP KT-C;SHAP KT-B;MAPE Correctness;SHAP Correlation;LIME Correlation;ACV Correlation;LINDA Correlation
0;0;0.6666666666666666;1.0;0.25;1.0;0.25;1.0;0.5;0.5;0.25;0.4439280032528609;0.3125;0.3223291856101521;0.1162476387438192;0.125;-0.2132007163556104;0.6214992045540053;0.46875;0.4029114820126901;0.5997122939864165;0.390625;0.4103049699311091;0.8181818181818181;0.5744269579035527;0.3223291856101521;-0.18463723646899913;0.40291148201269017
1;0;0.6666666666666666;1.0;0.25;1.0;0.5;0.0;0.0;0.5;0.25;0.7356521196761695;0.546875;0.4834937784152282;0.2324952774876385;0.25;0.2132007163556104;0.4819789749602489;0.390625;0.3223291856101519;0.8038696706626434;0.625;0.5744269579035527;0.7272727272727272;0.5744269579035527;0.40291148201269017;-0.13636363636363635;0.5640760748177661
1;0;0.8;1.0;0.25;1.0;0.25;0.0;0.0;1.0;0.5;0.8117540630909458;0.625;0.5640760748177661;0.9004503377814963;0.9375;0.8257228238447704;-0.1648875440653483;-0.15625;-0.1611645928050759;0.7655901625358508;0.546875;0.6564879518897745;0.7272727272727272;0.8206099398622182;0.5640760748177661;0.7756315349925287;-0.40291148201269017
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;0.2857142857142857;0.6666666666666666;0.5;0.3333333333333333;0.7637626158259734;0.5;0.5345224838248488;0.7499999999999999;0.75;0.7071067811865476;-0.5182674893104818;-0.4166666666666667;-0.5345224838248488;0.7957908849252548;0.5833333333333334;0.5443310539518174;0.8888888888888891;0.7257747386024233;0.5345224838248488;0.14433756729740646;-0.445435403187374
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;0.375;1.0;1.0;0.6666666666666666;0.7637626158259734;0.5;0.5345224838248488;0.968245836551854;0.9375;0.9128709291752768;0.0;0.0;0.0;0.7957908849252548;0.5833333333333334;0.5443310539518174;0.8888888888888891;0.7257747386024233;0.6236095644623236;0.5292377467571571;0.0
0;0;0.6666666666666666;1.0;0.25;1.0;0.5;1.0;0.25;0.5;0.25;0.5707645756108212;0.390625;0.4834937784152282;-0.4202101576313649;-0.4375;-0.2752409412815901;0.5327136039034331;0.390625;0.3223291856101519;0.7273106544090582;0.546875;0.5744269579035527;0.7272727272727272;0.5744269579035527;0.3223291856101521;-0.18463723646899913;0.5640760748177661
0;0;0.8;1.0;0.25;1.0;0.25;0.0;0.0;1.0;0.5;0.7102848052045776;0.46875;0.4834937784152282;0.2401200900750657;0.25;0.3302891295379082;-0.0510393441690567;-0.0390625;-0.1230914909793327;0.7911098346203791;0.625;0.5744269579035527;0.6363636363636362;0.90267093384844;0.6446583712203041;0.7756315349925287;-0.3692744729379981
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.6666666666666666;0.7637626158259734;0.5;0.5345224838248488;0.968245836551854;0.9375;0.9128709291752768;-0.1363861813974952;-0.0833333333333333;0.0;0.7957908849252548;0.5833333333333334;0.6350528962771202;0.8888888888888891;0.7257747386024233;0.6236095644623236;0.7372097807744857;0.0890870806374748
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.6273764344284781;0.4166666666666667;0.4454354031873739;0.1249999999999999;0.125;0.1178511301977579;-0.4364357804719848;-0.3333333333333333;-0.3563483225498992;0.8506730149201001;0.6666666666666666;0.7257747386024233;0.8888888888888891;0.8164965809277261;0.6236095644623236;0.48666426339228763;-0.2672612419124244
1;0;0.8;1.0;0.25;1.0;0.25;0.0;0.0;0.0;0.0;0.6849174907329854;0.390625;0.4029114820126901;0.8053872662568291;0.75;0.7385489458759965;-0.4566116604886569;-0.3125;-0.241746889207614;0.7911098346203791;0.625;0.492365963917331;0.6363636363636362;0.90267093384844;0.5640760748177661;0.0;-0.08058229640253801
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;0.2;0.3333333333333333;0.5;0.3333333333333333;0.7910398521054723;0.5833333333333334;0.5345224838248488;-0.0645497224367902;-0.0625;-0.1825741858350553;-0.1909406539564933;-0.1666666666666666;-0.2672612419124244;0.7683498199278324;0.5;0.6350528962771202;0.8888888888888891;0.7257747386024233;0.5345224838248488;0.6488856845230502;-0.1781741612749496
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;1.0;0.6666666666666666;0.7637626158259734;0.5;0.5345224838248488;0.4518480570575321;0.4375;0.4260064336151293;-0.4364357804719848;-0.3333333333333333;-0.4454354031873739;0.7957908849252548;0.5833333333333334;0.6350528962771202;0.8888888888888891;0.7257747386024233;0.6236095644623236;0.81791288135197;-0.3563483225498992
1;0;0.8;1.0;0.25;1.0;0.25;1.0;0.25;1.0;0.5;0.7610194341477616;0.546875;0.4834937784152282;0.6393620130910059;0.6875;0.5863019699779287;-0.5961318900824132;-0.46875;-0.3223291856101519;0.842149178789436;0.625;0.7385489458759963;0.7272727272727272;0.8206099398622182;0.6446583712203041;0.4923659639173309;-0.08058229640253801
0;0;0.9411764705882352;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5;0.3333333333333333;0.7637626158259734;0.5;0.5345224838248488;0.7499999999999999;0.75;0.7071067811865476;-0.1091089451179962;-0.0833333333333333;0.0;0.7957908849252548;0.5833333333333334;0.6350528962771202;0.8888888888888891;0.7257747386024233;0.5345224838248488;0.5000000000000001;0.0890870806374748
0;0;0.6666666666666666;1.0;0.5;1.0;0.25;0.0;0.0;0.5;0.25;0.507346289431841;0.3125;0.4029114820126901;0.3601801351125985;0.375;0.3302891295379082;0.0887856006505722;0.078125;0.1611645928050759;0.8038696706626434;0.625;0.492365963917331;0.7272727272727272;0.5744269579035527;0.3223291856101521;-0.3046358979224712;-0.08058229640253801
1;0;0.6666666666666666;1.0;0.25;1.0;0.25;1.0;0.5;0.0;0.0;0.7356521196761695;0.546875;0.4834937784152282;0.0;0.0;0.1066003581778052;0.5707645756108212;0.390625;0.3223291856101519;0.8038696706626434;0.625;0.5744269579035527;0.7272727272727272;0.5744269579035527;0.3223291856101521;0.0;0.5640760748177661
1;0;0.8;1.0;0.25;1.0;0.25;0.0;0.0;0.0;0.0;0.5961318900824132;0.390625;0.4834937784152282;0.3601801351125985;0.375;0.220192753025272;-0.5707645756108212;-0.46875;-0.3223291856101519;0.842149178789436;0.625;0.6564879518897745;0.7272727272727272;0.8206099398622182;0.40291148201269017;0.0;-0.40291148201269017
0;0;0.6666666666666666;1.0;0.25;1.0;0.5;0.5;0.25;0.5;0.25;0.7356521196761695;0.546875;0.5640760748177661;0.3601801351125985;0.375;0.110096376512636;0.4692953177244529;0.3125;0.241746889207614;0.7400704904513223;0.546875;0.5744269579035527;0.7272727272727272;0.492365963917331;0.40291148201269017;0.0;0.4834937784152282
0;0;0.6666666666666666;1.0;0.5;1.0;0.25;1.0;0.25;0.5;0.25;0.5707645756108212;0.390625;0.3223291856101521;-0.4202101576313649;-0.4375;-0.2752409412815901;0.5707645756108212;0.390625;0.3223291856101519;0.7783499985781149;0.546875;0.492365963917331;0.7272727272727272;0.5744269579035527;0.3223291856101521;-0.2585438449975096;0.5640760748177661
0;0;0.8;1.0;0.25;1.0;0.25;1.0;0.25;1.0;0.5;0.8117540630909458;0.625;0.6446583712203041;0.1162476387438192;0.125;0.2132007163556104;-0.1268365723579602;-0.078125;0.0805822964025379;0.8676688508739642;0.703125;0.8206099398622182;0.7272727272727272;0.8206099398622182;0.5640760748177661;0.04891159880445184;0.0
1;0;0.8;1.0;0.25;1.0;0.25;1.0;0.25;1.0;0.5;0.6849174907329854;0.390625;0.4029114820126901;0.6393620130910059;0.6875;0.5863019699779287;-0.4819789749602489;-0.3125;-0.241746889207614;0.7911098346203791;0.625;0.6564879518897745;0.6363636363636362;0.90267093384844;0.7252406676228422;0.5869391856534222;-0.08058229640253801
0;0;0.6666666666666666;1.0;0.25;1.0;0.25;1.0;0.25;0.5;0.25;0.2283058302443285;0.15625;0.3223291856101521;-0.2013468165642072;-0.1875;-0.0615457454896663;0.494662632196045;0.3125;0.241746889207614;0.6762713102400015;0.46875;0.5744269579035527;0.7272727272727272;0.5744269579035527;0.40291148201269017;-0.18463723646899913;0.4834937784152282
