Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall;LIME SRCC;LIME KT-C;LIME KT-B;SHAP SRCC;SHAP KT-C;SHAP KT-B;LINDA SRCC;LINDA KT-C;LINDA KT-B;ACV SRCC;ACV KT-C;ACV KT-B;MAPE Correctness;LINDA Correlation;SHAP Correlation;LIME Correlation;ACV Correlation
0;0;0.7953285661849822;1.0;1.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0238095238095238;0.0714285714285714;0.1428571428571428;0.5000000000000001;0.3571428571428571;0.4999999999999999;-0.4523809523809524;-0.2857142857142857;-0.4285714285714285;0.5455447255899809;0.625;0.5669467095138409;-0.2142857142857142;-0.5714285714285714;0.8571428571428571;0.8571428571428571;0.0
1;0;0.5170186182351307;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.6904761904761906;0.5714285714285714;0.5714285714285714;0.4285714285714286;0.2857142857142857;0.3571428571428571;0.0952380952380952;0.0714285714285714;0.0714285714285714;0.0563436169819011;0.0625;-0.14638501094227999;-0.4999999999999999;0.2857142857142857;0.8571428571428571;0.9999999999999998;0.0
1;0;0.6865271610451373;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.2380952380952381;0.1428571428571428;0.0714285714285714;-0.2380952380952381;-0.1428571428571428;-0.0714285714285714;-0.261904761904762;-0.2142857142857142;-0.0714285714285714;0.7324670207647144;0.8125;0.6343350474165466;0.2142857142857142;0.4999999999999999;0.6428571428571428;0.3571428571428571;0.0
0;0;0.9016498637196771;1.0;1.0;1.0;1.0;0.125;1.0;0.0;0.0;0.0952380952380952;0.0714285714285714;-0.0714285714285714;0.2380952380952381;0.2142857142857142;0.3571428571428571;0.0;0.0;0.0;0.0;0.0;-0.0944911182523068;-0.1428571428571428;0.0;0.8571428571428571;0.8571428571428571;0.0
0;0;0.9364443968414821;1.0;0.3333333333333333;0.5;0.3333333333333333;0.375;1.0;0.6666666666666666;0.6666666666666666;-0.0476190476190476;-0.0714285714285714;-0.0714285714285714;-0.4047619047619048;-0.4285714285714285;-0.0714285714285714;0.0;0.0;0.0;-0.1091089451179961;-0.125;0.0944911182523068;-0.3571428571428571;0.0;0.8571428571428571;0.2857142857142857;0.24174688920761409
1;0;0.5692536423273051;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.6666666666666669;0.5;0.3571428571428571;0.5476190476190477;0.3571428571428571;0.3571428571428571;0.1428571428571428;0.0714285714285714;-0.1428571428571428;0.2817180849095055;0.3125;0.3415650255319865;0.2857142857142857;-0.21428571428571427;0.9285714285714284;0.8571428571428571;0.0
0;0;0.7330777891033495;1.0;1.0;1.0;1.0;1.0;1.0;0.25;1.0;-0.2857142857142857;-0.2142857142857142;0.0714285714285714;-0.2142857142857143;-0.2142857142857142;0.1428571428571428;-0.880952380952381;-0.7142857142857143;-0.4285714285714285;0.4364357804719847;0.5;0.1889822365046136;-0.2142857142857142;0.3571428571428571;0.6428571428571428;0.8571428571428571;0.2834733547569204
1;0;0.6152740266175002;0.5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.3333333333333334;0.2142857142857142;0.0;0.0952380952380952;0.0714285714285714;-0.0714285714285714;-0.2857142857142857;-0.2142857142857142;-0.1428571428571428;0.0563436169819011;0.0625;-0.0487950036474266;0.1428571428571428;0.07142857142857142;0.7857142857142856;0.9285714285714284;0.0
1;0;0.7114415740929879;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;-0.1666666666666667;-0.0714285714285714;-0.0714285714285714;-0.0952380952380952;0.0;0.2857142857142857;-0.261904761904762;-0.2142857142857142;-0.1428571428571428;0.8728715609439694;1.0;0.472455591261534;0.1428571428571428;-0.2857142857142857;0.7857142857142856;0.8571428571428571;0.0
1;0;0.7955570177921178;1.0;1.0;1.0;1.0;1.0;1.0;0.3333333333333333;1.0;0.0476190476190476;0.0;0.0;0.2380952380952381;0.2142857142857142;0.1428571428571428;-0.0952380952380952;-0.0714285714285714;0.0;0.8728715609439694;1.0;0.5669467095138409;-0.0714285714285714;0.0;0.8571428571428571;0.42857142857142855;0.6343350474165466
