Actual;Prediction;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;ACV Precision;ACV Recall;ACV Correlation
953;1609.2362535230998;1.0;1.0;0.663681592039801;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
708;1103.0457754710662;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
447;541.3009702349209;0.0;0.0;0.7273631840796021;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
918;605.5344306288598;0.0;0.0;0.7074626865671642;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
246;395.1945124832732;0.5;1.0;0.7154228855721393;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
430;607.2283219304178;0.0;0.0;0.7572139303482587;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
512;593.6277662990938;0.0;0.0;0.7432835820895523;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
564;350.77868958162117;1.0;1.0;0.7452736318407961;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
808;960.122823399946;0.0;0.0;0.7412935323383085;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
659;1160.460254221112;0.0;0.0;0.7472636815920398;1.0;1.0;0.9256227598790656;0.0;0.0;0.20552376849191803
282;714.5426912914185;0.0;0.0;0.7313432835820897;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
495;500.8837511317141;0.0;0.0;0.7412935323383085;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
993;1122.6667959379179;0.0;0.0;0.7512437810945274;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1264;1389.8083042316507;0.0;0.0;0.7611940298507464;1.0;1.0;0.9256227598790656;0.0;0.0;0.20943737313812535
614;607.2283219304178;0.0;0.0;0.7572139303482587;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
118;381.34123018726257;1.0;1.0;0.691542288557214;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
620;755.0276561077484;0.0;0.0;0.7213930348258707;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1342;777.1422264188785;0.0;0.0;0.7592039800995025;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
344;942.1388471461553;0.0;0.0;0.7054726368159204;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
130;815.4245409563382;0.0;0.0;0.7353233830845771;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
556;867.313765490685;0.0;0.0;0.7512437810945274;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
654;662.5200825586455;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1143;850.7542619452577;0.0;0.0;0.7731343283582092;1.0;1.0;0.9248346603237628;0.0;0.0;0.25556692543080545
167;550.5111399587358;0.0;0.0;0.7492537313432835;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
206;356.91219794581366;0.5;1.0;0.7373134328358208;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
623;577.6975331904266;0.0;0.0;0.7333333333333334;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
3244;2040.5933749311546;1.0;1.0;0.6875621890547263;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
104;567.5589580363519;0.0;0.0;0.6676616915422885;1.0;1.0;0.9256227598790656;0.0;0.0;0.2759775829897784
570;854.1896956849208;0.0;0.0;0.7452736318407961;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1490;537.4619687282544;0.5;1.0;0.6935323383084577;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
411;1602.3855643320285;0.0;0.0;0.7631840796019901;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
683;918.9949367527264;0.0;0.0;0.7333333333333334;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
365;710.5503824415297;0.0;0.0;0.7512437810945274;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1016;379.82621475217263;0.0;0.0;0.7194029850746271;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
83;826.8793843401932;0.0;0.0;0.6756218905472637;1.0;1.0;0.9256227598790656;0.0;0.0;0.2759775829897784
484;532.629176817617;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
2127;1500.9916865932278;0.0;0.0;0.7512437810945274;1.0;1.0;0.9256227598790656;0.0;0.0;0.20943737313812535
565;729.5883860816188;0.0;0.0;0.7432835820895523;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
17;752.5910966558781;0.0;0.0;0.7373134328358208;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1635;643.2225352011895;0.0;0.0;0.7731343283582092;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
681;573.2936856983284;0.0;0.0;0.7512437810945274;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1800;1052.6314997399036;0.0;0.0;0.7592039800995025;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
522;805.4025165686344;0.0;0.0;0.7472636815920398;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
492;539.1660656691737;0.0;0.0;0.7194029850746271;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1099;884.0509953104454;0.0;0.0;0.7631840796019901;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
483;565.3841874533556;0.0;0.0;0.7174129353233831;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1073;2203.1890037944127;1.0;1.0;0.691542288557214;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
2570;1868.8836347720444;1.0;1.0;0.6756218905472637;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
348;503.0186556974614;0.0;0.0;0.7492537313432835;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
712;910.4704901900757;0.0;0.0;0.7532338308457712;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
374;635.4489462269322;0.0;0.0;0.709452736318408;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
251;744.6726760450499;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
158;632.5987040100043;0.5;1.0;0.6855721393034826;1.0;1.0;0.9256227598790656;0.0;0.0;0.2759775829897784
1480;795.9924610075062;0.0;0.0;0.7373134328358208;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
640;373.43041739557196;1.0;1.0;0.709452736318408;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
201;356.91219794581366;0.5;1.0;0.7373134328358208;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
37;792.0598178763206;0.0;0.0;0.7293532338308457;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
374;826.5516338913278;0.0;0.0;0.7393034825870647;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
638;482.83292314004257;0.0;0.0;0.7194029850746271;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1002;1211.2547129040906;0.0;0.0;0.7293532338308457;1.0;1.0;0.9256227598790656;0.0;0.0;0.17124968771064059
424;819.7417713353508;0.0;0.0;0.7611940298507464;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1412;646.4578356461425;0.0;0.0;0.7273631840796021;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
213;454.9883558145774;0.0;0.0;0.7532338308457712;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
388;778.4531236782308;0.0;0.0;0.7432835820895523;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
254;395.1945124832732;0.5;1.0;0.7154228855721393;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
131;350.77868958162117;1.0;1.0;0.7452736318407961;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
335;1081.8494805367968;0.0;0.0;0.7592039800995025;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
2319;1293.4599598491595;0.0;0.0;0.7492537313432835;1.0;1.0;0.9256227598790656;0.0;0.0;0.20943737313812535
432;1110.63444141862;0.0;0.0;0.7472636815920398;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
631;784.9206903434253;0.0;0.0;0.7393034825870647;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
298;687.9554940733682;0.0;0.0;0.7472636815920398;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
860;760.371723588539;0.0;0.0;0.7611940298507464;1.0;1.0;0.9248346603237628;0.0;0.0;0.25556692543080545
1408;702.8285415679878;0.0;0.0;0.7154228855721393;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
488;1118.0022169341437;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
321;371.98991220992446;0.0;0.0;0.7273631840796021;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
173;454.9883558145774;0.0;0.0;0.7532338308457712;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
2628;356.91219794581366;0.5;1.0;0.7373134328358208;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1334;1014.6801564230318;0.0;0.0;0.7592039800995025;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
3822;1520.0288322187887;0.0;0.0;0.7213930348258707;1.0;1.0;0.9256227598790656;0.16666666666666666;1.0;0.10098207324809921
513;919.4096826638596;0.0;0.0;0.7353233830845771;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
127;447.2685818827592;0.0;0.0;0.7213930348258707;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
182;389.0610041190808;1.0;1.0;0.7213930348258707;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
582;822.1730193989737;0.0;0.0;0.7472636815920398;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
460;662.5200825586455;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
86;1796.2943490847165;1.0;1.0;0.681592039800995;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
2781;1885.4726963004248;1.0;1.0;0.6975124378109453;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
678;1562.6792177639495;0.0;0.0;0.7532338308457712;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
283;400.4123733571994;0.5;1.0;0.7592039800995025;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
496;725.2305968173227;0.0;0.0;0.7373134328358208;1.0;1.0;0.9256227598790656;0.0;0.0;0.2759775829897784
271;622.8104056697117;0.0;0.0;0.7054726368159204;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
827;971.9005805229816;0.0;0.0;0.7333333333333334;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1397;2005.887772907953;1.0;1.0;0.7293532338308457;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
991;655.4400931771348;0.0;0.0;0.6975124378109453;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
189;488.9482138919509;1.0;1.0;0.7213930348258707;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1105;696.2916527164311;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
335;538.5818976675291;0.5;1.0;0.7353233830845771;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
284;518.7855843018948;1.0;1.0;0.6895522388059703;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
288;1047.727186933277;0.0;0.0;0.7552238805970151;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
334;904.1058925760208;0.0;0.0;0.7651741293532339;1.0;1.0;0.9256227598790656;0.0;0.0;0.25556692543080545
1407;1834.5766636221758;1.0;1.0;0.6616915422885573;1.0;1.0;0.9256227598790656;0.0;0.0;0.0
