Actual;Prediction;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation
6;5.42638036809816;1.0;0.25;1.0;0.25;0.0;0.0;0.7839935320800403;0.5087470190691683;0.1345345587992625
6;7.0;1.0;0.2;1.0;0.2;0.0;0.0;0.7679817174694634;0.7675225788801975;0.0
7;6.875;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6873217490352687;0.4930493313022979;0.1632993161855452
8;5.915989159891598;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.7423074889580903;0.5968491905238342;0.0
8;6.437956204379562;1.0;0.3333333333333333;1.0;0.6666666666666666;1.0;0.6666666666666666;0.6873217490352687;0.6487491201346024;0.36305409909144726
6;6.145785876993166;1.0;0.2;1.0;0.2;0.5;0.2;0.7228063223242011;0.4264014327112208;0.04428074427700476
6;6.437956204379562;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5;0.3333333333333333;0.6873217490352687;0.6487491201346024;0.5333628833421287
6;6.565874730021599;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6873217490352687;0.5968491905238342;-0.4354648431614539
6;6.565874730021599;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6323360091124473;0.5449492609130661;0.21081851067789195
5;5.915989159891598;1.0;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0;0.7423074889580903;0.5968491905238342;-0.3535533905932738
6;5.915989159891598;1.0;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0;0.7423074889580903;0.4930493313022979;-0.30242156957551825
6;6.145785876993166;1.0;0.2;1.0;0.2;1.0;0.4;0.7228063223242011;0.5543218625245872;0.06642111641550714
5;6.437956204379562;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5;0.3333333333333333;0.6873217490352687;0.7006490497453707;0.31219527052723134
5;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6323360091124473;0.5449492609130661;-0.18033392693348646
6;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5223645292668043;0.4930493313022979;-0.1111111111111111
7;6.565874730021599;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6323360091124473;0.5449492609130661;0.25537695922762454
6;5.42638036809816;1.0;0.25;1.0;0.25;0.0;0.0;0.7839935320800403;0.7399956641006084;-0.08346223261119858
6;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6323360091124473;0.5449492609130661;-0.0936585811581694
5;5.224025974025974;1.0;0.25;1.0;0.25;1.0;0.25;0.7349939363250378;0.6937459350943204;0.298540717013266
6;5.42638036809816;1.0;0.25;1.0;0.25;0.0;0.0;0.7839935320800403;0.6012464770817443;0.45110709954768075
6;5.6020408163265305;1.0;0.5;1.0;0.5;0.0;0.0;0.5571524965427928;0.5877538136452586;0.2884299752006152
6;5.929166666666666;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6873217490352687;0.5968491905238342;0.0
6;5.915989159891598;1.0;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0;0.7423074889580903;0.4930493313022979;0.0
6;5.639344262295082;1.0;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0;0.5223645292668043;0.5968491905238342;-0.21994295969128602
7;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6323360091124473;0.5449492609130661;0.3162277660168379
5;5.224025974025974;1.0;0.25;1.0;0.25;1.0;0.25;0.7349939363250378;0.6937459350943204;0.25565499628245675
6;5.929166666666666;1.0;0.3333333333333333;1.0;0.3333333333333333;0.75;1.0;0.7423074889580903;0.6487491201346024;0.5443310539518174
6;5.915989159891598;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.7423074889580903;0.4930493313022979;0.0
7;6.145785876993166;1.0;0.2;1.0;0.2;0.5;0.2;0.813157112614726;0.5543218625245872;-0.2032892781536815
5;5.36697247706422;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5773502691896258;0.5968491905238342;-0.35218036253024954
5;5.42638036809816;1.0;0.25;1.0;0.25;0.0;0.0;0.7349939363250378;0.6474962060880324;-0.05113099925649135
6;5.915989159891598;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.7423074889580903;0.5968491905238342;0.0
6;5.224025974025974;1.0;0.25;1.0;0.25;1.0;0.25;0.7839935320800403;0.6937459350943204;-0.16169041669088866
6;5.42638036809816;1.0;0.25;1.0;0.25;1.0;0.25;0.7349939363250378;0.6474962060880324;0.027820744203732862
6;6.875;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6323360091124473;0.5449492609130661;0.1649572197684645
6;4.961904761904762;1.0;0.5;1.0;0.5;0.4;1.0;0.5571524965427928;0.5877538136452586;0.5026246899500345
5;4.945454545454545;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5;0.3333333333333333;0.7423074889580903;0.7006490497453707;0.29938207967349956
7;5.915989159891598;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.7423074889580903;0.5449492609130661;0.0
5;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5223645292668043;0.4930493313022979;0.11322770341445958
6;6.145785876993166;1.0;0.2;1.0;0.2;0.0;0.0;0.813157112614726;0.5543218625245872;0.20124611797498104
6;5.915989159891598;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.7423074889580903;0.5449492609130661;0.0
7;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5223645292668043;0.5449492609130661;0.4364357804719847
5;5.639344262295082;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6873217490352687;0.6487491201346024;-0.06011130897782882
6;5.42638036809816;1.0;0.25;1.0;0.25;1.0;0.25;0.7349939363250378;0.4162475610565922;0.24641644145347896
6;5.6020408163265305;1.0;0.5;1.0;0.5;0.0;0.0;0.5571524965427928;0.4640161686673094;-0.11803342130469503
6;5.42638036809816;1.0;0.25;1.0;0.25;0.0;0.0;0.7349939363250378;0.6937459350943204;0.11595420713048966
8;6.416666666666668;1.0;0.2;1.0;0.2;1.0;0.4;0.7679817174694634;0.5543218625245872;0.2032892781536815
6;6.416666666666668;1.0;0.2;1.0;0.2;1.0;0.4;0.813157112614726;0.6822422923379534;0.049386479832479485
6;6.437956204379562;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6873217490352687;0.6487491201346024;0.028688765527462346
6;5.929166666666666;1.0;0.3333333333333333;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6323360091124473;0.5968491905238342;0.0
