Actual;Prediction;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;ACV Precision;ACV Recall;LIME SRCC;LIME KT-C;LIME KT-B;ACV SRCC;ACV KT-C;ACV KT-B;SHAP SRCC;SHAP KT-C;SHAP KT-B;MAPE Correctness;SHAP Correlation;LIME Correlation;ACV Correlation
37.5;40.7;1.0;0.2;1.0;0.4;1.0;0.2;0.9411239481143202;0.8888888888888888;0.6;0.4140393356054126;0.4444444444444444;0.1825741858350553;0.5217939320872036;0.4166666666666666;0.4140393356054125;0.7333333333333333;0.2;0.6;0.34641016151377546
35.5;40.7;1.0;0.2;1.0;0.2;1.0;0.2;0.4638168285219587;0.2777777777777778;0.4666666666666666;0.8911327886790069;1.0;0.7745966692414834;0.6957252427829381;0.5555555555555556;0.4472135954999579;0.6;0.2;0.6;0.6024640760767093
23.7;23.6;1.0;0.25;1.0;0.25;1.0;0.25;0.2898855178262242;0.2777777777777778;0.2760262237369417;0.4950737714883371;0.5555555555555556;0.4454354031873739;0.6377481392176932;0.5555555555555556;0.4472135954999579;0.8571428571428572;0.41403933560541256;0.2760262237369417;0.1889822365046136
39.3;47.0;1.0;0.2;1.0;0.2;1.0;0.2;0.5428571428571429;0.4666666666666667;0.4666666666666666;0.0975900072948533;0.1111111111111111;0.08606629658238701;0.7714285714285715;0.6;0.8666666666666666;0.7333333333333333;0.4666666666666666;0.4666666666666666;0.0
54.4;39.95;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.333947207395404;0.2962962962962963;0.298142396999972;0.4399413450640599;0.4444444444444444;0.4082482904638629;0.6982532518267538;0.5925925925925926;0.5962847939999439;0.8333333333333335;0.7453559924999299;0.149071198499986;0.0
48.1;40.7;1.0;0.2;1.0;0.2;1.0;0.2;0.4857142857142858;0.3333333333333333;0.6;-0.4950737714883371;-0.5555555555555556;-0.2581988897471611;0.7714285714285715;0.6;0.6;0.8666666666666666;0.4666666666666666;0.2;0.6024640760767093
12.2;15.6;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.7589709258986453;0.5925925925925926;0.5962847939999439;0.1224744871391589;0.1111111111111111;0.0;0.6375355777548621;0.4444444444444444;0.4472135954999579;1.0;0.4472135954999579;0.5962847939999439;0.4811252243246882
41.0;39.95;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.6375355777548621;0.5925925925925926;0.5962847939999439;-0.5184758473652126;-0.5555555555555556;-0.4811252243246882;0.5768179036829705;0.4444444444444444;0.4472135954999579;0.8333333333333335;0.5962847939999439;0.4472135954999579;-0.08703882797784893
11.6;15.6;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.8804062740424288;0.7407407407407407;0.7453559924999299;0.1154700538379251;0.1111111111111111;0.2886751345948129;0.8804062740424288;0.7407407407407407;0.6024640760767093;1.0;0.7453559924999299;0.7453559924999299;0.4811252243246882
39.6;37.6;1.0;0.25;1.0;0.25;1.0;0.25;0.8116794499134278;0.6944444444444444;0.5520524474738834;-0.1980295085953348;-0.2222222222222222;-0.3563483225498992;0.5161002296110789;0.4444444444444444;0.2760262237369417;0.8571428571428572;0.41403933560541256;0.41403933560541256;0.3563483225498992
44.9;55.0;1.0;0.5;1.0;1.0;1.0;1.0;0.7775419143502353;0.5833333333333334;0.7745966692414834;0.6928203230275508;0.6666666666666666;0.6666666666666666;0.7775419143502353;0.5833333333333334;0.6024640760767093;1.0;0.6024640760767093;0.7745966692414834;0.6030226891555273
55.2;39.95;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5768179036829705;0.4444444444444444;0.298142396999972;-0.3098386676965934;-0.2222222222222222;-0.3872983346207417;0.7589709258986453;0.5925925925925926;0.7453559924999299;0.8333333333333335;0.5962847939999439;0.4472135954999579;0.43519413988924466
46.1;42.1;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.819688599970537;0.7407407407407407;0.5962847939999439;0.5184758473652126;0.5555555555555556;0.4811252243246882;0.819688599970537;0.7407407407407407;0.7453559924999299;0.8333333333333335;0.5962847939999439;0.4472135954999579;0.3481553119113957
39.0;42.4;1.0;0.5;1.0;0.5;1.0;0.5;0.6761234037828132;0.5833333333333334;0.4303314829119352;0.6928203230275508;0.6666666666666666;0.6666666666666666;0.8451542547285165;0.75;0.7745966692414834;1.0;0.7745966692414834;0.4303314829119352;0.0
43.9;40.7;1.0;0.2;1.0;0.2;1.0;0.2;0.753702346348183;0.5555555555555556;0.8666666666666666;0.8911327886790069;1.0;0.7745966692414834;0.347862621391469;0.2777777777777778;0.3333333333333333;0.6;0.2;0.4666666666666666;0.4303314829119352
47.7;45.2;1.0;0.5;1.0;0.5;1.0;0.5;0.7775419143502353;0.5833333333333334;0.6024640760767093;0.6928203230275508;0.6666666666666666;0.6666666666666666;0.7775419143502353;0.5833333333333334;0.6024640760767093;1.0;0.6024640760767093;0.6024640760767093;-0.6030226891555273
38.9;42.4;1.0;0.5;1.0;0.5;1.0;0.5;0.8451542547285165;0.75;0.7745966692414834;0.6928203230275508;0.6666666666666666;0.6666666666666666;0.8451542547285165;0.75;0.7745966692414834;1.0;0.7745966692414834;0.6024640760767093;0.0
20.8;23.6;1.0;0.25;1.0;0.25;1.0;0.5;0.1739313106957345;0.1388888888888889;0.2760262237369417;-0.8911327886790069;-1.0;-0.8017837257372732;0.2732295333235123;0.1481481481481481;0.5520524474738834;1.0;0.41403933560541256;0.2760262237369417;0.44474958999666075
45.1;48.6;1.0;0.16666666666666666;1.0;0.16666666666666666;1.0;0.16666666666666666;0.3768511731740915;0.2777777777777778;0.4666666666666666;0.2927700218845599;0.3333333333333333;0.2581988897471611;0.942857142857143;0.8666666666666667;0.4666666666666666;0.6;0.7333333333333333;0.7333333333333333;-0.7006490497453707
38.5;34.2;1.0;0.5;1.0;0.5;1.0;0.5;0.7775419143502353;0.5833333333333334;0.7745966692414834;0.6324555320336761;0.4444444444444444;0.9428090415820632;0.7775419143502353;0.5833333333333334;0.3464101615137754;0.9428090415820632;0.7302967433402214;0.7302967433402214;-0.3198010745334156
29.8;35.1;1.0;0.25;1.0;0.5;0.0;0.0;0.6667366910003157;0.5555555555555556;0.4140393356054125;0.3960590171906697;0.4444444444444444;0.3563483225498992;0.6377481392176932;0.5555555555555556;0.8944271909999159;0.7142857142857143;0.6900655593423541;0.41403933560541256;0.11952286093343936
