Actual;Prediction;LIME Precision;LIME Recall;SHAP Precision;SHAP Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation
531;384.0;1.0;0.06666666666666668;1.0;0.03333333333333333;0.0;0.0;0.5839959435089156;0.3802617140290989;0.0
93;60.5;1.0;0.26666666666666666;1.0;0.06666666666666668;0.5;0.06666666666666667;0.5198265193976735;0.4866637430405652;0.4651674849151631
2;7.0;0.0;0.0;1.0;0.08333333333333333;1.0;0.08333333333333333;0.3546641622768541;0.1883010758480205;0.1583881910167003
173;154.5;1.0;0.06666666666666668;1.0;0.03333333333333333;1.0;0.03333333333333333;0.6143662634313727;0.5194590136736942;0.41288080009361017
254;401.0;1.0;0.1111111111111111;1.0;0.037037037037037035;0.0;0.0;0.5807469194573239;0.5636854280382386;0.0
250;241.0;1.0;0.03571428571428571;1.0;0.03571428571428571;0.8333333333333334;0.17857142857142858;0.6241113691249784;0.5748564739500062;0.26555447849648917
472;509.0;0.6666666666666666;0.2222222222222222;1.0;0.1111111111111111;1.0;0.4444444444444444;0.4602369217187014;0.32903816122875484;0.5241490362790074
70;71.0;1.0;0.12;1.0;0.04;0.0;0.0;0.5708923127761357;0.5115087152296819;0.0
320;266.0;0.6666666666666666;0.2;1.0;0.2;1.0;0.2;0.4614035338940766;0.2629504010364093;0.5852245974361904
254;269.0;1.0;0.1;1.0;0.03333333333333333;0.8;0.13333333333333333;0.6333477133829085;0.5890576634959918;0.32389034714848003
64;55.0;1.0;0.03333333333333333;1.0;0.03333333333333333;0.0;0.0;0.5253459183187814;0.5088892991907232;0.29300094372274615
487;493.5;1.0;0.125;1.0;0.125;0.0;0.0;0.5000650491123548;0.051619617972888235;0.0
348;237.0;1.0;0.038461538461538464;1.0;0.038461538461538464;0.0;0.0;0.6299280614679112;0.5274899184203312;0.0
101;117.0;1.0;0.07407407407407407;1.0;0.037037037037037035;0.0;0.0;0.5466239366191534;0.43244318635296775;0.21055620787414986
229;249.0;0.0;0.0;1.0;0.07142857142857142;0.0;0.0;0.5253015255534688;0.4176787739766606;0.0
