Actual;Prediction;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;ACV Precision;ACV Recall;ACV Correlation
10;10.339120098523567;1.0;1.0;0.9007092198581559;1.0;1.0;0.5942193265041094;1.0;1.0;0.33686076842660756
11;8.951856860360435;1.0;1.0;0.8986828774062817;1.0;1.0;0.5284559227803344;1.0;1.0;0.2309469574153165
11;11.553580755794446;1.0;1.0;0.8865248226950354;0.0;0.0;0.4673899050368291;1.0;1.0;0.18056483124693493
11;10.641950323903863;1.0;1.0;0.8682877406281662;1.0;1.0;0.5816929638900569;0.0;0.0;0.33686076842660756
7;7.095111017597349;1.0;1.0;0.9290780141843972;1.0;1.0;0.6662459115349104;0.5;1.0;0.20897649038055724
10;10.13777355142229;1.0;1.0;0.922998986828774;1.0;1.0;0.6036140984646486;1.0;1.0;0.13068853986627835
8;8.381643504280538;1.0;1.0;0.9169199594731507;1.0;1.0;0.6286668236927533;1.0;1.0;0.18374228156727979
15;15.037299157400017;1.0;1.0;0.9250253292806484;1.0;1.0;0.5848245545435701;1.0;1.0;0.2173186637151477
8;7.465770977925715;1.0;1.0;0.9047619047619048;1.0;1.0;0.5362848994141171;0.0;0.0;0.2780608300829068
17;18.089365607849096;1.0;1.0;0.9169199594731507;1.0;1.0;0.6208378470589705;1.0;1.0;0.33686076842660756
17;16.203917018107813;1.0;1.0;0.9007092198581559;1.0;1.0;0.6004825078111354;1.0;1.0;0.2317713120235981
10;13.247009780833626;1.0;1.0;0.894630192502533;1.0;1.0;0.5691666012760045;1.0;1.0;0.12580567182994315
10;9.366585049287199;1.0;1.0;0.9067882472137792;1.0;1.0;0.5738639872562742;1.0;1.0;0.2935961651770794
8;8.290603623083065;1.0;1.0;0.8905775075987842;1.0;1.0;0.6051798937914051;1.0;1.0;0.26837773226545386
9;10.066700078502773;1.0;1.0;0.910840932117528;1.0;1.0;0.6286668236927533;1.0;1.0;0.10988329851325875
15;13.21457087446199;1.0;1.0;0.9067882472137792;1.0;1.0;0.4830478583043945;1.0;1.0;0.1655178236605999
9;10.683001517929895;0.5;1.0;0.9067882472137792;0.0;0.0;0.4752188816706118;1.0;1.0;0.11490169901460548
10;9.822643943638411;1.0;1.0;0.922998986828774;1.0;1.0;0.6161404610787009;0.0;0.0;0.15369170548520722
10;10.472888752983591;1.0;1.0;0.8865248226950354;1.0;1.0;0.5957851218308658;1.0;1.0;0.15160467303050426
16;15.422993832184822;1.0;1.0;0.894630192502533;1.0;1.0;0.6083114844449182;1.0;1.0;0.33686076842660756
10;9.40270427917392;1.0;1.0;0.9027355623100304;1.0;1.0;0.5785613732365438;1.0;1.0;0.31728949798812034
