Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall;SHAP SRCC;SHAP KT-C;SHAP KT-B;LIME SRCC;LIME KT-C;LIME KT-B;ACV SRCC;ACV KT-C;ACV KT-B;LINDA SRCC;LINDA KT-C;LINDA KT-B;MAPE Correctness;SHAP Correlation;LIME Correlation;ACV Correlation;LINDA Correlation
0;0;0.8277490624288807;1.0;1.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0;0.7999999999999999;0.6666666666666666;0.6666666666666669;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.6666666666666669;0.6666666666666669;0.7071067811865477;0.0
0;0;0.8880489601057695;1.0;1.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.6666666666666669;0.4472135954999579;0.5;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.6666666666666669;0.6666666666666669;0.7071067811865477;0.0
0;0;0.7713333138214314;0.5;1.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0;0.7999999999999999;0.6666666666666666;1.0;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.6666666666666669;0.6666666666666669;0.7071067811865477;0.0
0;0;0.9166751993540356;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;0.6666666666666669;1.0;1.0;0.6666666666666669;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.6666666666666669;1.0;0.7071067811865477;0.0
0;0;0.7582741480024384;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;0.4;0.3333333333333333;0.0;0.7999999999999999;0.6666666666666666;0.6666666666666669;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.0;0.6666666666666669;0.2357022603955159;0.0
0;0;0.8800795139529871;1.0;1.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0;0.6000000000000001;0.3333333333333333;0.6666666666666669;0.0;0.0;0.8164965809277261;0.0;0.0;0.0;0.3333333333333334;0.6666666666666669;0.6666666666666669;0.7071067811865477;0.0
0;0;0.8882189397318596;0.5;1.0;1.0;1.0;0.25;1.0;0.0;0.0;0.7999999999999999;0.6666666666666666;1.0;0.7999999999999999;0.6666666666666666;1.0;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.6666666666666669;1.0;0.7071067811865477;0.0
0;0;0.8292487719774565;1.0;1.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0;0.7999999999999999;0.6666666666666666;1.0;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;1.0;1.0;0.6666666666666669;0.7071067811865477;0.0
0;0;0.9503523534340114;1.0;1.0;1.0;1.0;0.25;1.0;0.0;0.0;0.7999999999999999;0.6666666666666666;0.6666666666666669;1.0;1.0;0.6666666666666669;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;1.0;1.0;0.7071067811865477;0.0
0;0;0.9077726431420378;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;0.6666666666666669;0.7999999999999999;0.6666666666666666;0.3333333333333334;0.8944271909999159;1.0;0.8164965809277261;0.0;0.0;0.0;0.6666666666666669;0.3333333333333334;0.6666666666666669;0.7071067811865477;0.0
