Actual;Prediction;LIME Precision;LIME Recall;LIME Correlation;ACV Precision;ACV Recall;ACV Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
42.3;38.15665730173888;0.0;0.0;0.3333333333333333;0.0;0.0;0.4472135954999579;0.0;0.0;0.4666666666666666
48.2;41.66321614121603;0.0;0.0;0.3333333333333333;0.0;0.0;-0.5773502691896257;0.0;0.0;0.3333333333333333
42.5;43.32619035733611;0.0;0.0;0.6;1.0;1.0;0.25819888974716115;0.0;0.0;0.4666666666666666
53.7;47.071204006059205;0.5;1.0;0.6;0.5;1.0;-0.08606629658238703;0.0;0.0;0.4666666666666666
78.0;43.850154611604054;0.0;0.0;0.3333333333333333;1.0;1.0;0.34641016151377546;0.0;0.0;0.2
71.0;48.64761030633169;0.5;1.0;0.4666666666666666;0.5;1.0;0.0778498944161523;0.0;0.0;0.4666666666666666
42.8;46.06162522060282;0.5;1.0;0.6;0.0;0.0;0.18257418583505533;1.0;1.0;0.6
67.7;39.47452175771842;0.0;0.0;0.3333333333333333;0.0;0.0;-0.35805743701971643;0.0;0.0;0.4666666666666666
42.3;46.449091154775104;0.0;0.0;0.2;0.0;0.0;0.6024640760767093;0.0;0.0;0.3333333333333333
21.3;33.57528253872936;1.0;1.0;0.6;1.0;1.0;0.18257418583505533;1.0;1.0;0.6
36.9;45.157102138068716;1.0;1.0;0.7333333333333333;1.0;1.0;0.25819888974716115;0.0;0.0;0.7333333333333333
42.6;38.74341956111672;0.0;0.0;0.4666666666666666;1.0;1.0;-0.0778498944161523;0.0;0.0;0.6
55.3;35.56553558821403;0.0;0.0;0.3333333333333333;1.0;1.0;0.0778498944161523;0.0;0.0;0.3333333333333333
21.5;29.277344846704587;0.0;0.0;-0.06666666666666665;1.0;1.0;0.0;0.0;0.0;0.3333333333333333
23.1;33.61352030164452;1.0;1.0;1.0;1.0;1.0;0.18257418583505533;1.0;1.0;0.9999999999999999
58.1;53.01630697000396;0.0;0.0;0.4666666666666666;1.0;1.0;0.2335496832484569;0.0;0.0;0.3333333333333333
30.5;33.58057227325157;1.0;1.0;0.6;1.0;1.0;-0.11547005383792515;1.0;1.0;0.4666666666666666
31.1;36.8187490493295;1.0;1.0;0.7333333333333333;0.0;0.0;0.36514837167011066;1.0;1.0;0.7333333333333333
44.3;41.3631860960011;0.0;0.0;0.3333333333333333;0.0;0.0;0.5449492609130661;0.0;0.0;0.4666666666666666
43.9;38.62583520578381;0.0;0.0;0.4666666666666666;1.0;1.0;0.07161148740394327;0.0;0.0;0.4666666666666666
46.1;46.770275967754706;0.0;0.0;0.4666666666666666;0.0;0.0;0.18257418583505533;0.0;0.0;0.3333333333333333
29.8;31.585551253982644;0.0;0.0;-0.06666666666666665;0.0;0.0;-0.4303314829119352;0.0;0.0;0.4666666666666666
30.8;33.97169635697381;1.0;1.0;0.6;1.0;1.0;0.0;1.0;1.0;0.4666666666666666
37.0;29.727667711915327;0.0;0.0;0.4666666666666666;0.0;0.0;0.35805743701971643;0.0;0.0;0.4666666666666666
48.1;46.2495796475796;0.0;0.0;0.2;0.0;0.0;0.34641016151377546;0.0;0.0;0.2
22.3;30.824976873092538;0.0;0.0;0.4666666666666666;0.0;0.0;0.11547005383792515;0.0;0.0;0.06666666666666665
39.7;39.281556557636925;0.0;0.0;0.3333333333333333;0.0;0.0;0.11547005383792515;0.0;0.0;0.3333333333333333
37.5;43.983471455962324;0.0;0.0;0.3333333333333333;1.0;1.0;0.18257418583505533;0.0;0.0;0.2
32.1;30.784658915374195;1.0;1.0;0.4666666666666666;1.0;1.0;0.18257418583505533;1.0;1.0;0.4666666666666666
48.0;48.83853136449214;0.0;0.0;0.4666666666666666;0.0;0.0;0.18257418583505533;0.0;0.0;0.3333333333333333
21.7;38.30524902797159;1.0;1.0;0.7333333333333333;0.0;0.0;-0.2335496832484569;0.0;0.0;0.6
24.6;28.77515462039055;0.0;0.0;0.06666666666666665;1.0;1.0;-0.08606629658238703;0.0;0.0;0.3333333333333333
29.5;32.535655678565085;0.0;0.0;0.06666666666666665;1.0;1.0;-0.0778498944161523;0.0;0.0;0.3333333333333333
44.9;52.9947150756149;0.0;0.0;0.2;0.0;0.0;0.3892494720807615;0.0;0.0;0.2
54.4;45.360472087545254;0.0;0.0;0.4666666666666666;0.0;0.0;0.08606629658238703;0.0;0.0;0.6
20.8;30.421384600789512;0.0;0.0;0.06666666666666665;0.0;0.0;0.11547005383792515;0.0;0.0;0.2
29.3;41.62516782010806;0.5;1.0;0.6;1.0;1.0;0.5477225575051661;0.0;0.0;0.2
26.5;27.94279423864433;0.0;0.0;0.4666666666666666;1.0;1.0;-0.11547005383792515;0.0;0.0;0.4666666666666666
35.7;28.047056230547465;0.0;0.0;0.3333333333333333;0.0;0.0;-0.149071198499986;0.0;0.0;0.2
13.0;13.061562446153395;1.0;1.0;0.7333333333333333;1.0;1.0;-0.8563488385776752;1.0;1.0;0.8666666666666666
41.0;33.79400138855768;0.0;0.0;0.3333333333333333;0.0;0.0;-0.25819888974716115;0.0;0.0;0.4666666666666666
47.9;47.68076992454125;0.0;0.0;0.4666666666666666;0.0;0.0;-0.3892494720807615;0.0;0.0;0.4666666666666666
38.9;41.23271077924162;1.0;1.0;0.7333333333333333;1.0;1.0;0.2335496832484569;1.0;1.0;0.9999999999999999
61.5;36.463186469912856;0.0;0.0;0.06666666666666665;1.0;1.0;0.34641016151377546;0.0;0.0;-0.06666666666666665
29.4;33.930247091818906;1.0;1.0;0.3333333333333333;1.0;1.0;0.0;1.0;1.0;0.3333333333333333
11.6;12.507099827784344;1.0;1.0;0.6;0.0;0.0;0.0;1.0;1.0;0.7333333333333333
27.7;29.068701330679716;1.0;1.0;0.2;1.0;1.0;0.18257418583505533;1.0;1.0;0.6
41.2;27.271074682354268;1.0;1.0;0.7333333333333333;0.0;0.0;-0.2335496832484569;1.0;1.0;0.9999999999999999
13.8;22.78253625629269;0.0;0.0;0.2;0.0;0.0;0.2335496832484569;0.0;0.0;0.3333333333333333
13.7;22.355985675580165;0.0;0.0;0.2;0.0;0.0;0.5449492609130661;0.0;0.0;0.2
70.1;50.82519492865103;0.5;1.0;0.7333333333333333;1.0;1.0;0.18257418583505533;0.0;0.0;0.6
53.5;45.76928638532149;0.5;1.0;0.6;0.0;0.0;0.08606629658238703;0.0;0.0;0.6
