Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;LINDA Precision;LINDA Recall;ACV Precision;ACV Recall
0;0;0.9638144175042314;1.0;0.6666666666666666;1.0;0.3333333333333333;0.75;1.0;1.0;0.6666666666666666
0;0;0.9843514523271863;0.5;0.5;0.5;0.5;0.5;1.0;0.5;0.5
0;0;0.9904034051933724;0.5;1.0;0.5;1.0;0.25;1.0;0.5;1.0
0;0;0.9378633558320624;0.0;0.0;0.0;0.0;0.25;1.0;0.0;0.0
0;0;0.9733406691461572;1.0;1.0;1.0;1.0;0.25;1.0;0.5;1.0
0;0;0.9959860510431212;0.0;0.0;0.5;1.0;0.25;1.0;0.5;1.0
0;0;0.9784732128135184;0.5;0.5;0.5;0.5;0.5;1.0;0.5;0.5
0;0;0.8397161005291539;1.0;0.6666666666666666;1.0;0.3333333333333333;0.75;1.0;1.0;0.6666666666666666
0;0;0.9468043333661768;0.0;0.0;0.0;0.0;0.25;1.0;0.0;0.0
0;0;0.5346793532241894;0.5;0.5;0.5;0.5;0.0;0.0;0.5;0.5
0;0;0.9118360848347032;1.0;0.6666666666666666;1.0;0.3333333333333333;0.75;1.0;1.0;0.6666666666666666
0;0;0.9985341530066736;0.5;0.3333333333333333;0.5;0.3333333333333333;0.75;1.0;0.5;0.3333333333333333
0;0;0.8758467521675463;0.0;0.0;0.0;0.0;0.25;1.0;0.0;0.0
1;1;0.9760372659112072;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0
1;1;0.9777050683908868;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0
1;1;0.9790846449946048;1.0;0.6666666666666666;1.0;0.3333333333333333;0.75;1.0;1.0;0.6666666666666666
1;1;0.9790455430090412;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
1;1;0.9869966333619432;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
1;1;0.9760700634212676;1.0;0.5;1.0;1.0;0.5;1.0;1.0;1.0
1;1;0.970677264960524;1.0;0.3333333333333333;1.0;0.3333333333333333;0.75;1.0;1.0;0.6666666666666666
1;1;0.9593650226964304;1.0;0.3333333333333333;1.0;0.6666666666666666;0.75;1.0;1.0;0.6666666666666666
1;1;0.9751843658675801;1.0;0.6666666666666666;1.0;0.6666666666666666;0.75;1.0;1.0;0.6666666666666666
1;1;0.9711749052390511;1.0;0.6666666666666666;1.0;0.6666666666666666;0.75;1.0;1.0;0.6666666666666666
1;1;0.9806753681212746;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
1;1;0.9683031846246574;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0
1;1;0.9753076659896808;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0
